"filename", "language", "Java", "XML", "JavaScript", "HTML", "CSS", "Properties", "comment", "blank", "total"
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/admin/regist.jsp", "HTML", 0, 0, 0, 48, 0, 0, 0, 5, 53
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/admin/update.jsp", "HTML", 0, 0, 0, 127, 0, 0, 0, 15, 142
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/index.jsp", "HTML", 0, 0, 0, 15, 0, 0, 0, 2, 17
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/css/addBook.css", "CSS", 0, 0, 0, 0, 61, 0, 6, 10, 77
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/css/bootstrap-theme.css", "CSS", 0, 0, 0, 0, 581, 0, 6, 1, 588
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/css/bootstrap-theme.min.css", "CSS", 0, 0, 0, 0, 1, 0, 5, 0, 6
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/css/bootstrap.css", "CSS", 0, 0, 0, 0, 6742, 0, 8, 8, 6758
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/css/bootstrap.min.css", "CSS", 0, 0, 0, 0, 5195, 0, 9, 947, 6151
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/css/bright.css", "CSS", 0, 0, 0, 0, 51, 0, 1, 7, 59
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/css/index.css", "CSS", 0, 0, 0, 0, 127, 0, 15, 21, 163
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/css/login.css", "CSS", 0, 0, 0, 0, 57, 0, 3, 10, 70
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/css/main.css", "CSS", 0, 0, 0, 0, 18, 0, 0, 2, 20
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/css/style.css", "CSS", 0, 0, 0, 0, 4, 0, 0, 0, 4
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/fonts/glyphicons-halflings-regular.svg", "XML", 0, 288, 0, 0, 0, 0, 0, 0, 288
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/js/ajaxfileupload.js", "JavaScript", 0, 0, 158, 0, 0, 0, 21, 22, 201
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/js/bootstrap.js", "JavaScript", 0, 0, 1597, 0, 0, 0, 198, 583, 2378
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/js/jquery-1.8.0.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 0, 2
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/js/jquery-3.3.1.js", "JavaScript", 0, 0, 6689, 0, 0, 0, 1725, 1951, 10365
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/js/jquery.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1, 0, 2
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/js/myjs.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/fushuran/IdeaProjects/springMVC/ssm-mini/src/main/webapp/static/js/npm.js", "JavaScript", 0, 0, 12, 0, 0, 0, 1, 0, 13
"Total", "-", 1790, 1077, 8459, 703, 12837, 4, 2011, 4189, 31070
